Hawaii,49.2,47,51.4,(±2.2),8487,70,60.6,56.3,64.9,(±4.3),2415,70,65.6,58.1,73.1,(±7.5),758,70,65.6,59.5,71.7,(±6.1),1103,70,50.1,42.5,57.7,(±7.6),554,70,46.2,43.7,48.7,(±2.5),6072,70,40.5,37.8,43.2,(±2.7),4062,70,53.7,47.2,60.2,(±6.5),1027,70,36.7,33.8,39.6,(±2.9),3006,70,36.6,33.1,40.1,(±3.5),2245,70,48.4,39.8,57,(±8.6),405,70,34.4,30.7,38.1,(±3.7),1824,70,48.9,44.2,53.6,(±4.7),1817,70,66.2,61.1,71.3,(±5.1),2010,70,43.7,40.2,47.2,(±3.5),2507,70,57.5,38.8,76.2,(±18.7)‡,102,70,49.2,43,55.4,(±6.2),818,70,51.3,48.2,54.4,(±3.1),4988,70
Idaho,39.5,37.3,41.7,(±2.2),5946,70,46.7,42.1,51.3,(±4.6),1743,70,61,52,70,(±9.0),526,70,48.1,41.1,55.1,(±7.0),684,70,35,28.1,41.9,(±6.9),533,70,37.1,34.6,39.6,(±2.5),4203,70,31.1,28.2,34,(±2.9),2615,70,38.4,32.7,44.1,(±5.7),649,70,29.3,26,32.6,(±3.3),1948,70,28.3,24.4,32.2,(±3.9),1374,70,32.6,23.8,41.4,(±8.8),255,70,27.6,23.1,32.1,(±4.5),1109,70,37.4,33.5,41.3,(±3.9),1241,70,60.3,56.8,63.8,(±3.5),1588,70,39.3,37,41.6,(±2.3),5127,70,57,35.3,78.7,(±21.7)‡,36,70,42.5,35.9,49.1,(±6.6),483,70,29.2,20.9,37.5,(±8.3),237,70
Illinois,41.8,39.3,44.3,(±2.5),6936,70,55.3,52.6,58,(±2.7),4601,70,68.5,63.6,73.4,(±4.9),1361,70,54.7,51.3,58.1,(±3.4),2069,70,45.7,40.6,50.8,(±5.1),1171,70,38,34.9,41.1,(±3.1),2335,70,32.2,28.7,35.7,(±3.5),1537,70,37.4,29.8,45,(±7.6),370,70,30.1,26.2,34,(±3.9),1156,70,27.6,23.5,31.7,(±4.1),881,70,28.3,17.9,38.7,(±10.4)‡,141,70,27.1,22.6,31.6,(±4.5),731,70,41.2,35.1,47.3,(±6.1),656,70,62.3,56.6,68,(±5.7),798,70,43.2,39.7,46.7,(±3.5),3649,70,38.7,31.4,46,(±7.3),854,70,38.2,31.5,44.9,(±6.7),1319,70,43.9,33.7,54.1,(±10.2)‡,676,70
Indiana,43.6,42.1,45.1,(±1.5),11326,70,55.2,51.6,58.8,(±3.6),2291,70,68.4,62.2,74.6,(±6.2),697,70,57,51.8,62.2,(±5.2),1045,70,41.4,34.1,48.7,(±7.3),549,70,40.2,38.6,41.8,(±1.6),9035,70,35.1,33.1,37.1,(±2.0),5349,70,45.9,41.6,50.2,(±4.3),1573,70,31.3,29.1,33.5,(±2.2),3736,70,30,27.5,32.5,(±2.5),2546,70,38.6,30.8,46.4,(±7.8),491,70,27.9,25.4,30.4,(±2.5),2028,70,45.2,42.5,47.9,(±2.7),2803,70,60,57.5,62.5,(±2.5),3686,70,43.9,42.2,45.6,(±1.7),9223,70,41,35.4,46.6,(±5.6),784,70,44.9,39.3,50.5,(±5.6),627,70,45.6,37.8,53.4,(±7.8),572,70
Iowa,51.3,49.5,53.1,(±1.8),8060,70,58.7,54.7,62.7,(±4.0),2043,70,71.6,64.6,78.6,(±7.0),597,70,62.5,56.9,68.1,(±5.6),915,70,44,36.9,51.1,(±7.1),531,70,49.1,47.1,51.1,(±2.0),6017,70,43.6,41.4,45.8,(±2.2),3902,70,52.3,47.8,56.8,(±4.5),941,70,41.5,39,44,(±2.5),2930,70,40.1,37.2,43,(±2.9),2147,70,45.9,38.3,53.5,(±7.6),351,70,39.3,36.2,42.4,(±3.1),1776,70,50.8,47.9,53.7,(±2.9),1755,70,68.8,65.9,71.7,(±2.9),2115,70,51,49.2,52.8,(±1.8),7142,70,51.3,39.1,63.5,(±12.2)‡,154,70,55.8,48.9,62.7,(±6.9),392,70,50.2,41.9,58.5,(±8.3),299,70
Kansas,43.9,42.4,45.4,(±1.5),11878,70,54.7,50.1,59.3,(±4.6),1807,70,73.4,65.1,81.7,(±8.3),534,70,52.1,45.8,58.4,(±6.3),711,70,42.1,35.4,48.8,(±6.7),562,70,40.5,39.1,41.9,(±1.4),10071,70,36.1,34.5,37.7,(±1.6),6558,70,43.6,40.5,46.7,(±3.1),1690,70,34,32,36,(±2.0),4800,70,33.1,30.9,35.3,(±2.2),3465,70,38.9,33.8,44,(±5.1),600,70,32.1,29.7,34.5,(±2.4),2821,70,42.3,39.9,44.7,(±2.4),3093,70,57.6,55.4,59.8,(±2.2),3513,70,43.3,41.8,44.8,(±1.5),9967,70,40.9,32.7,49.1,(±8.2),436,70,47.6,42,53.2,(±5.6),746,70,45.3,39.7,50.9,(±5.6),597,70
Kentucky,45,43.1,46.9,(±1.9),8883,70,50.3,46.5,54.1,(±3.8),2151,70,62.5,55.1,69.9,(±7.4),660,70,53.7,48.1,59.3,(±5.6),905,70,35.6,29.7,41.5,(±5.9),586,70,43.5,41.3,45.7,(±2.2),6732,70,37.8,35.3,40.3,(±2.5),4491,70,44.2,39.7,48.7,(±4.5),1480,70,35.5,32.4,38.6,(±3.1),2962,70,33.3,29.8,36.8,(±3.5),2321,70,37.1,29.5,44.7,(±7.6),515,70,32.7,28.8,36.6,(±3.9),1778,70,46.7,43.2,50.2,(±3.5),2170,70,64.3,60.6,68,(±3.7),2241,70,44.1,42.2,46,(±1.9),7282,70,41.9,34.2,49.6,(±7.7),812,70,65.9,51.1,80.7,(±14.8)‡,267,70,48.5,39.9,57.1,(±8.6),463,70
Louisiana,41.6,39.6,43.6,(±2.0),7098,70,57.1,53.6,60.6,(±3.5),2622,70,65.3,59.3,71.3,(±6.0),875,70,59.7,54.6,64.8,(±5.1),1119,70,46.5,40,53,(±6.5),628,70,37,34.6,39.4,(±2.4),4476,70,31.8,29.1,34.5,(±2.7),2841,70,43.6,37.5,49.7,(±6.1),814,70,27.6,24.7,30.5,(±2.9),1999,70,28.4,24.9,31.9,(±3.5),1443,70,36.9,27.1,46.7,(±9.8),255,70,26.4,22.7,30.1,(±3.7),1169,70,39,35.1,42.9,(±3.9),1398,70,57.9,54,61.8,(±3.9),1635,70,42.4,39.9,44.9,(±2.5),4506,70,41.1,37,45.2,(±4.1),1648,70,45.2,38.1,52.3,(±7.1),436,70,34.4,27.3,41.5,(±7.1),432,70
Maine,49.9,48.1,51.7,(±1.8),10018,70,61.6,57.6,65.6,(±4.0),2453,70,71.8,65.6,78,(±6.2),785,70,62.6,56.5,68.7,(±6.1),1166,70,52.8,46.2,59.4,(±6.6),502,70,47.2,45.2,49.2,(±2.0),7565,70,40.1,37.7,42.5,(±2.4),4626,70,48.8,43.9,53.7,(±4.9),1316,70,37.2,34.5,39.9,(±2.7),3271,70,34.4,31.1,37.7,(±3.3),2062,70,44.6,34,55.2,(±10.6)‡,403,70,32.6,29.1,36.1,(±3.5),1639,70,48.3,45.2,51.4,(±3.1),2564,70,68.7,66.2,71.2,(±2.5),2939,70,50,48.2,51.8,(±1.8),9261,70,56.4,45.1,67.7,(±11.3)‡,98,70,45.4,30.4,60.4,(±15.0)‡,163,70,51.9,43.2,60.6,(±8.7),406,70
Maryland,53.5,51.7,55.3,(±1.8),15289,70,68.5,63.5,73.5,(±5.0),3175,70,73.5,66.7,80.3,(±6.8),949,70,71,63.7,78.3,(±7.3),1471,70,60.3,52.5,68.1,(±7.8),755,70,49.3,47.5,51.1,(±1.8),12114,70,43.5,41.3,45.7,(±2.2),7349,70,53.1,48.8,57.4,(±4.3),1928,70,41,38.5,43.5,(±2.5),5320,70,39,36.1,41.9,(±2.9),3348,70,46.4,39.5,53.3,(±6.9),583,70,37.9,34.6,41.2,(±3.3),2722,70,52,49.3,54.7,(±2.7),4001,70,71.8,69.4,74.2,(±2.4),4765,70,56.4,54.4,58.4,(±2.0),10063,70,47.1,43.2,51,(±3.9),3136,70,52.8,46.8,58.8,(±6.0),804,70,55.8,50.4,61.2,(±5.4),1096,70
Massachusetts,50.3,48.1,52.5,(±2.2),8972,70,71.9,68.3,75.5,(±3.6),2874,70,82,77.2,86.8,(±4.8),937,70,71.3,66.3,76.3,(±5.0),1316,70,64.5,56.7,72.3,(±7.8),621,70,45,42.5,47.5,(±2.5),6098,70,41.3,38.2,44.4,(±3.1),3982,70,49.4,43.1,55.7,(±6.3),987,70,39.3,35.8,42.8,(±3.5),2930,70,38.2,34.3,42.1,(±3.9),2122,70,41.8,32.6,51,(±9.2),348,70,37.9,33.4,42.4,(±4.5),1738,70,47.4,42.7,52.1,(±4.7),1860,70,59.3,54.4,64.2,(±4.9),2116,70,50.7,48.2,53.2,(±2.5),6804,70,45.2,36.7,53.7,(±8.5),430,70,51.9,44.3,59.5,(±7.6),851,70,47.9,40.8,55,(±7.1),760,70
Michigan,44.2,42.5,45.9,(±1.7),10029,70,55.7,50.3,61.1,(±5.4),2074,70,63.6,56.4,70.8,(±7.2),631,70,53.9,48.4,59.4,(±5.5),852,70,53.3,41.1,65.5,(±12.2)‡,591,70,41.1,39.5,42.7,(±1.6),7955,70,35.1,33.1,37.1,(±2.0),5025,70,45.3,41,49.6,(±4.3),1419,70,31.5,29.3,33.7,(±2.2),3548,70,31.1,28.6,33.6,(±2.5),2649,70,40.7,33.1,48.3,(±7.6),517,70,29,26.3,31.7,(±2.7),2094,70,41.9,39.2,44.6,(±2.7),2376,70,62.6,60.1,65.1,(±2.5),2930,70,45.5,43.9,47.1,(±1.6),8001,70,38.1,31.5,44.7,(±6.6),912,70,43.8,36.1,51.5,(±7.7),384,70,44.3,38.3,50.3,(±6.0),589,70
Minnesota,51.7,50.2,53.2,(±1.5),12263,70,60,56.3,63.7,(±3.7),2354,70,75.3,69.2,81.4,(±6.1),782,70,60.2,54.7,65.7,(±5.5),1031,70,46.1,39.4,52.8,(±6.7),541,70,49.3,47.7,50.9,(±1.6),9909,70,44,42.2,45.8,(±1.8),6925,70,57.1,52.8,61.4,(±4.3),1358,70,41.3,39.3,43.3,(±2.0),5501,70,40.5,38.1,42.9,(±2.4),3891,70,52.3,44.9,59.7,(±7.4),504,70,38.9,36.5,41.3,(±2.4),3350,70,51.1,48.6,53.6,(±2.5),3034,70,69.6,67.1,72.1,(±2.5),2984,70,52,50.5,53.5,(±1.5),10395,70,47.5,40.2,54.8,(±7.3),445,70,55.5,48.2,62.8,(±7.3),599,70,49.7,43.7,55.7,(±6.0),690,70
Mississippi,40.1,38.1,42.1,(±2.0),6648,70,50.5,47.1,53.9,(±3.4),2684,70,60.5,53.5,67.5,(±7.0),769,70,51,46.5,55.5,(±4.5),1324,70,41.8,35,48.6,(±6.8),591,70,36.9,34.5,39.3,(±2.4),3964,70,30.6,27.9,33.3,(±2.7),2479,70,40.2,34.9,45.5,(±5.3),767,70,27.2,23.9,30.5,(±3.3),1686,70,28.2,24.5,31.9,(±3.7),1225,70,35.8,26.8,44.8,(±9.0),233,70,26.5,22.4,30.6,(±4.1),981,70,35.2,31.5,38.9,(±3.7),1254,70,59.7,56.2,63.2,(±3.5),1485,70,40.7,38.2,43.2,(±2.5),3989,70,37.5,34.1,40.9,(±3.4),2050,70,49.7,36.4,63,(±13.3)‡,210,70,48.4,37.4,59.4,(±11.0)‡,331,70
Missouri,46.4,43.8,49,(±2.6),5723,70,53.9,50.6,57.2,(±3.3),2270,70,63.8,57.9,69.7,(±5.9),686,70,56.4,51.6,61.2,(±4.8),919,70,43.1,37.3,48.9,(±5.8),665,70,44.3,41.2,47.4,(±3.1),3453,70,36.7,33,40.4,(±3.7),2023,70,44.3,37.2,51.4,(±7.1),620,70,34.5,30.2,38.8,(±4.3),1387,70,33.6,28.9,38.3,(±4.7),1041,70,37.3,27.3,47.3,(±10.0),226,70,33.1,27.6,38.6,(±5.5),806,70,43,37.1,48.9,(±5.9),982,70,71.1,66.4,75.8,(±4.7),1430,70,47.1,44.2,50,(±2.9),4526,70,42,33.9,50.1,(±8.1),514,70,43.9,33.2,54.6,(±10.7)‡,276,70,46.4,35.3,57.5,(±11.1)‡,373,70
Montana,42.2,39.3,45.1,(±2.9),4944,70,49,44.8,53.2,(±4.2),2052,70,59.6,51.6,67.6,(±8.0),667,70,50.3,44.2,56.4,(±6.1),873,70,38.3,30.9,45.7,(±7.4),512,70,40.4,36.9,43.9,(±3.5),2892,70,33.5,29.4,37.6,(±4.1),1799,70,47.1,37.9,56.3,(±9.2),441,70,30.5,25.8,35.2,(±4.7),1346,70,30.3,25,35.6,(±5.3),907,70,37.2,22.1,52.3,(±15.1)‡,145,70,29.6,23.9,35.3,(±5.7),755,70,39.3,33,45.6,(±6.3),892,70,64.5,57.6,71.4,(±6.9),1093,70,41.2,38.1,44.3,(±3.1),4095,70,NR *,NaN,NaN,NR *,NR *,70,40.2,24.7,55.7,(±15.5)‡,173,70,53.7,43.4,64,(±10.3)‡,622,70
Nebraska,52.3,50.6,54,(±1.7),12035,70,63.4,59.7,67.1,(±3.7),1944,70,74.5,68.5,80.5,(±6.0),593,70,66.3,61.1,71.5,(±5.2),828,70,49.3,42.3,56.3,(±7.0),523,70,48.8,46.8,50.8,(±2.0),10091,70,43.7,41.3,46.1,(±2.4),6415,70,55,50.1,59.9,(±4.9),1515,70,40.7,38,43.4,(±2.7),4856,70,39.2,36.1,42.3,(±3.1),3430,70,46.2,39.3,53.1,(±6.9),520,70,37.8,34.3,41.3,(±3.5),2886,70,52.8,49.5,56.1,(±3.3),2985,70,68.7,66.2,71.2,(±2.5),3676,70,51.2,49.5,52.9,(±1.7),10330,70,58.7,49,68.4,(±9.7),213,70,58.4,51.9,64.9,(±6.5),937,70,48.8,41.8,55.8,(±7.0),476,70
Nevada,36.1,33.9,38.3,(±2.2),5719,70,45.6,41.6,49.6,(±4.0),2267,70,58.5,50.8,66.2,(±7.7),664,70,44,38,50,(±6.0),863,70,38.4,31.3,45.5,(±7.1),740,70,33.4,30.9,35.9,(±2.5),3452,70,27.4,24.5,30.3,(±2.9),2301,70,38.2,31.7,44.7,(±6.5),595,70,24.4,21.1,27.7,(±3.3),1682,70,22.4,18.9,25.9,(±3.5),1312,70,26.4,18.6,34.2,(±7.8),223,70,21.9,18,25.8,(±3.9),1073,70,38.8,33.5,44.1,(±5.3),989,70,58.6,53.7,63.5,(±4.9),1151,70,39.1,36.2,42,(±2.9),3370,70,34.4,26.3,42.5,(±8.1),349,70,31.6,27.3,35.9,(±4.3),1326,70,34.6,26.3,42.9,(±8.3),621,70
New Hampshire,50.4,47.3,53.5,(±3.1),7000,70,66.2,62.2,70.2,(±4.0),2283,70,73,65.8,80.2,(±7.2),649,70,71.8,66.4,77.2,(±5.4),1100,70,52.8,45.1,60.5,(±7.7),534,70,46.6,42.9,50.3,(±3.7),4717,70,41.4,36.3,46.5,(±5.1),2886,70,44.9,39.4,50.4,(±5.5),811,70,41,33.4,48.6,(±7.6),2051,70,39.1,31.1,47.1,(±8.0),1297,70,40.5,31.3,49.7,(±9.2),261,70,39.7,28.1,51.3,(±11.6)‡,1018,70,45.2,41.9,48.5,(±3.3),1589,70,65.6,62.5,68.7,(±3.1),1831,70,49.5,47.3,51.7,(±2.2),6275,70,36.7,17.8,55.6,(±18.9)‡,62,70,60,47,73,(±13.0)‡,197,70,55.6,35.6,75.6,(±20.0)‡,393,70
New Jersey,49.1,46.8,51.4,(±2.3),8682,70,67.7,64.5,70.9,(±3.2),3135,70,84.7,80.7,88.7,(±4.0),975,70,72.4,68.2,76.6,(±4.2),1425,70,48.3,42.1,54.5,(±6.2),735,70,44,41.3,46.7,(±2.7),5547,70,38.4,35.1,41.7,(±3.3),3542,70,48.8,42.1,55.5,(±6.7),893,70,35.6,31.7,39.5,(±3.9),2618,70,34.4,29.9,38.9,(±4.5),1704,70,39.1,27.9,50.3,(±11.2)‡,280,70,33.9,28.8,39,(±5.1),1407,70,45.4,40.9,49.9,(±4.5),1838,70,65.5,61.8,69.2,(±3.7),2005,70,52.1,49.4,54.8,(±2.7),5378,70,42.5,36.6,48.4,(±5.9),939,70,45.6,39.2,52,(±6.4),1398,70,50.8,43.3,58.3,(±7.5),842,70
New Mexico,49.2,46.7,51.7,(±2.5),6342,70,63.8,59,68.6,(±4.8),2268,70,81.6,74.5,88.7,(±7.1),636,70,60.3,54.5,66.1,(±5.8),1043,70,57.2,49.8,64.6,(±7.4),589,70,44.9,42,47.8,(±2.9),4074,70,39.4,36.1,42.7,(±3.3),2564,70,46.8,40.3,53.3,(±6.5),743,70,36.6,32.7,40.5,(±3.9),1796,70,35.6,31.3,39.9,(±4.3),1291,70,41.9,32.3,51.5,(±9.6),281,70,33.7,28.8,38.6,(±4.9),994,70,47.6,42.3,52.9,(±5.3),1273,70,65,60.1,69.9,(±4.9),1510,70,47.2,43.6,50.8,(±3.6),2869,70,66.8,48.7,84.9,(±18.1)‡,90,70,50.3,46.5,54.1,(±3.8),2522,70,52.8,45.1,60.5,(±7.7),759,70
